Question,Ground Truth Answer,LLM Generated Answer,Document Retrieval Score,Faithfulness Score
What did the Court decide about the defendant's waiver of double jeopardy protections in Sanabria v. United States?,The Court rejected the government's argument that the defendant waived his double jeopardy rights by moving to exclude the numbers evidence. The Court held that the defendant did not move to have the numbers allegation 'dismissed' as a separate charge and did not contemplate or consent to a second trial on a separate theory. The acquittal was final and the defendant's right to be free from a second trial was not waived. References: Document: 109894 Pages: 22-23,"The supplied documents do not contain any information about Sanabria v. United States, so I cannot answer the question regarding the Court’s decision on the defendant’s waiver of double‑jeopardy protections.",NO,NO
What was the central legal issue in Montana v. United States?,"The central issue was whether the United States was collaterally estopped from challenging the constitutionality of a Montana gross receipts tax on public contractors because the same issue had been litigated and decided against a contractor in a prior state-court proceeding, which the United States had controlled and directed. References: Document: 110022 Pages: 4","The case centered on whether Montana’s gross‑receipts tax imposed on federal contractors violated the U.S. Constitution, specifically the Supremacy Clause (and related equal‑protection concerns). The Supreme Court examined whether the tax discriminated against the federal government by singling it out for a higher tax rate than private contractors, thereby infringing the federal government’s sovereign immunity and the Supremacy Clause.  

References  
1. Document: 110022  
   Type: Court Judgment  
   Pages: 1-3  
2. Document: 110022  
   Type: Court Judgment  
   Pages: 5-6  
3. Document: 110022  
   Type: Court Judgment  
   Pages: 8-10  
4. Document: 110022  
   Type: Court Judgment  
   Pages: 18-19",NO,NO
What did the Court hold regarding the application of collateral estoppel to the United States in Montana v. United States?,"The Court held that the United States was collaterally estopped from relitigating the constitutionality of the Montana gross receipts tax. The Court found that the issues in the instant case were the same as those decided in the prior state-court case, Kiewit I, and that the United States had controlled the prior litigation, financing and directing the appeal, and thus was a party for purposes of collateral estoppel. References: Document: 110022 Pages: 9","The Court held that collateral estoppel does not bind the United States.  In Montana v. United States the Court rejected the application of the doctrine to the federal government, finding that the United States is not subject to the earlier state‑court decision under collateral estoppel.  

References  
1. Document: 110022  
   Type: Court Judgment  
   Pages: 12‑13  
2. Document: 110022  
   Type: Court Judgment  
   Pages: 18‑19",NO,NO
"What is the doctrine of collateral estoppel, as applied in Montana v. United States?","Collateral estoppel prevents a party from relitigating an issue that has been actually and necessarily determined by a competent court in a prior proceeding. The doctrine applies when the party against whom estoppel is sought had a full and fair opportunity to litigate the issue in the prior action. In this case, the United States, through its control of the prior litigation, was bound by the state court's determination. References: Document: 110022 Pages: 7","The doctrine of collateral estoppel, as applied in *Montana v. United States*, bars a party from relitigating an issue that has already been decided in a prior action when the following threshold requirements are satisfied:  

1. **Identical issue** – the issue decided in the earlier adjudication is identical to the issue presented in the current suit.  
2. **Final judgment on the merits** – the earlier adjudication produced a final judgment on the merits.  
3. **Same party or privity** – the party against whom estoppel is asserted was a party or in privity with a party to the earlier adjudication.  

The court in *Montana v. United States* found that these thresholds were met with respect to the federal government’s claim that a gross‑receipts tax applied.  Because the issue had already been decided in a prior Montana state‑court action, the federal government was estopped from relitigating it in federal court.  The court also considered whether applying the doctrine would be fundamentally unfair; it concluded that no such unfairness existed, so the doctrine applied without exception.

**References**  
1. Document: *gf_judgements_llc_v._estate_of_evgeny_freidman*  
   Type: Court Judgment  
   Pages: 13‑14  
2. Document: *110022*  
   Type: Court Judgment  
   Pages: 15‑17",NO,YES
"What was the evidence of extraneous offenses presented against the defendant in Allridge v. Texas, and how did the court view it?","Evidence was presented that the defendant committed several aggravated robberies after the murder, including at a Pizza Hut, an International House of Pancakes, and a Whataburger restaurant. The court viewed this evidence as probative of the defendant's propensity to commit future acts of violence and his lack of remorse, supporting the jury's affirmative finding to the second special issue. References: Document: 1717368 Pages: 18-19","The trial record contained evidence that the defendant had committed **seven additional aggravated robberies after the instant offense and before his arrest**.  The court treated that evidence as admissible and relevant, concluding that it demonstrated a propensity to commit future violent acts and thereby supported the sentencing decision.  

References  
1. Document: 1717368  
   Type: Court Judgment  
   Pages: 19-19",YES,YES
What did the court conclude about the warrantless arrest of the defendant in Allridge v. Texas?,"The court held that the warrantless arrest of the defendant was valid under Art. 14.01(a), 14.03(a)(1), and 14.04 of the Texas Code of Criminal Procedure. The court found that the officers had probable cause to arrest the defendant based on the information they had, including the description of the suspects, the vehicle, and the circumstances of the crime, and that there was no time to secure a warrant. References: Document: 1717368 Pages: 20","The court held that the warrantless arrest of the defendant was **valid**.  

References  
1. Document: 1717368  
   Type: Court Judgment  
   Pages: 19‑20  
2. Document: 1717368  
   Type: Court Judgment  
   Pages: 22‑23",YES,YES
What was the court's ruling on the defendant's motion to suppress his confession in Allridge v. Texas?,"The court held that the defendant's confession was voluntary and admissible. The court found that the defendant was advised of his Miranda rights, that he knowingly and intelligently waived them, and that his confession was not the product of coercion or threats. The court also found that the consent to search form was voluntarily signed, and the trial court's decision to admit the confession was supported by the record. References: Document: 1717368 Pages: 23","The court denied the defendant’s motion to suppress the confession, holding that the confession was voluntary and therefore admissible.  

References  
1. Document: 2372264  
   Type: Court Judgment  
   Pages: 21-22",NO,NO
What was the issue regarding the admissibility of a photograph in Allridge v. Texas?,"The defendant argued that a photograph of the crime scene was inflammatory and prejudicial and should have been excluded. The court held that the photograph was admissible because it was a fair and accurate depiction of the scene and was probative of the nature of the crime. The court found that the probative value outweighed any prejudicial effect, and the trial court did not abuse its discretion in admitting the photograph. References: Document: 1717368 Pages: 24","The appellate court questioned whether the photograph of the crime scene that had been admitted at trial was admissible and, if so, whether its admission was an abuse of discretion or prejudicial to the defendant. The issue centered on whether the photograph was sufficiently probative to outweigh any potential prejudice and whether the trial court’s decision to admit it was correct.  

References  
1. Document: 1717368  
   Type: Court Judgment  
   Pages: 24-25",YES,NO
What was the Court's decision regarding the attorney's liability to a nonclient in Green Spring Farms v. Kersten?,"The Wisconsin Supreme Court reversed the court of appeals and held that the attorney, Kersten, could not be held liable to the nonclient plaintiffs. The Court adhered to its decision in Goerke v. Vojvodich, which requires proof of fraudulent conduct on the part of the attorney before the attorney can be held liable to a nonclient. The Court found no evidence of fraud, negligence, or strict liability that would support liability. References: Document: 1895466 Pages: 4","The Court held that the attorney, Kersten, was not liable to the non‑client, Green Spring Farms.  Under Wisconsin law the general rule of attorney immunity applies to acts performed within the attorney‑client relationship, and liability to a third party arises only when the attorney engages in fraudulent conduct toward that third party.  The Court found no evidence of fraud or other conduct that would defeat that immunity, and therefore declined to impose liability on Kersten.

References  
1. Document: 1895466  
   Type: Court Judgment  
   Pages: 1‑5  
2. Document: 1895466  
   Type: Court Judgment  
   Pages: 17‑19",NO,YES
"What is the general rule regarding an attorney's liability to third parties in Wisconsin, as stated in Green Spring Farms v. Kersten?",The general rule is that an attorney cannot be held liable to third parties for acts committed within the scope of the attorney-client relationship. An exception exists when the attorney's conduct is fraudulent. The Court in Green Spring Farms reaffirmed that an attorney may be held liable to a nonclient only when the attorney intended to mislead or misinform the opposing party and actually does so to the detriment of that party. References: Document: 1895466 Pages: 19,"An attorney is generally immune from liability to third parties for acts performed within the scope of the attorney‑client relationship.  The court noted that this immunity “cannot be held liable to third parties any scope for acts committed within the an of attorney‑client agency relationship” (Scandrett v. …, 108 Wis. 510 N.W.2d).  The only exception to this rule is when the attorney’s conduct is fraudulent; in such cases the attorney may be held liable to a non‑client (Goerke v. …, 67 Wis. 2d 226).  

References  
1. Document: 1895466  
   Type: Court Judgment  
   Pages: 17-19  
2. Document: 1895466  
   Type: Court Judgment  
   Pages: 18-20",YES,YES
"What is the 'balancing test' approach to attorney liability, and how did the court apply it in Green Spring Farms v. Kersten?","The 'balancing test' approach, first articulated in Lucas v. Hamm, considers factors such as the extent to which the transaction was intended to affect the plaintiff, the foreseeability of harm, the certainty of harm, the nexus between the conduct and the harm, and the policy of preventing future harm. The Court in Green Spring Farms declined to apply this test broadly to find liability, noting that the test is limited to will-drafting and beneficiary contexts and was not appropriate in an arm's-length real estate transaction. References: Document: 1895466 Pages: 20","The “balancing‑test” approach to attorney liability is a method the court uses to decide whether an attorney may be held liable to a non‑client for conduct that occurred within the scope of the attorney‑client relationship.  The test requires the court to weigh a series of factors:

1. **The extent of the transaction** – how closely the attorney’s actions were tied to the transaction at issue.  
2. **Foreseeability** – whether the attorney could have reasonably foreseen that his conduct would affect the non‑client.  
3. **Certainty of harm** – the degree to which harm to the non‑client was certain.  
4. **Actual harm suffered** – the specific loss or injury that the non‑client endured.  
5. **Nexus** – the connection between the attorney’s conduct and the harm suffered.  
6. **Policy considerations** – the broader policy implications of imposing liability on the attorney.

In *Green Spring Farms v. Kersten*, the court applied this balancing test to the conduct of attorney E. Campion Kersten.  The court found that Kersten had not engaged in fraudulent conduct or made any misrepresentations that could be shown to have misled the non‑client.  Because there was no fraudulent or misleading conduct, the factors of foreseeability, certainty of harm, actual harm, and nexus did not support liability.  Consequently, the court held that the attorney could not be held liable to the non‑client under the balancing‑test framework.

**References**  
1. Document: 1895466  
   Type: Court Judgment  
   Pages: 18‑20",YES,NO
Why did the Court find that the plaintiffs in Green Spring Farms v. Kersten could not rely on the attorney's representations?,"The Court found that the plaintiffs could not rely on Kersten's representations because they were not intended beneficiaries of his duty as an attorney, and they had their own counsel to protect their interests. The transaction was conducted at arm's length, and the plaintiffs were aware of the potential problems with the property and Offutt's possible claim. Therefore, they could not reasonably assume that Kersten would look after their interests. References: Document: 1895466 Pages: 27-28","The Court held that the plaintiffs could not rely on the attorney’s statements because those statements were made to the real‑estate broker, not to the plaintiffs, and the attorney had no duty to the plaintiffs.  The Court found that the representations were “above board” and made in good faith, and that no fraudulent conduct by the attorney was shown.  Under Wisconsin law, an attorney is not liable to a non‑client absent proof of fraud (Goerke v. Vojvodich), and the Court applied that rule to conclude that the plaintiffs could not invoke the attorney’s representations.  

**References**  
1. Document: 1895466  
   Type: Court Judgment  
   Pages: 9‑11  
2. Document: 1895466  
   Type: Court Judgment  
   Pages: 8‑9  
3. Document: 1895466  
   Type: Court Judgment  
   Pages: 17‑19",NO,YES
What was the Court's view on the applicability of strict liability for misrepresentation to attorneys in Green Spring Farms v. Kersten?,"The Court rejected the application of strict liability for misrepresentation to attorneys. While the court of appeals attempted to apply such liability, the Supreme Court held that Wisconsin law has not recognized a cause of action based on strict liability against an attorney for representations made to a nonclient. The Court found that the court of appeals erred in applying strict liability principles and that the Goerke rule, requiring fraud, was the appropriate standard. References: Document: 1895466 Pages: 28","The court held that the strict‑liability framework for misrepresentation set out in *Goerke* does not extend to an attorney who is not a seller.  Because the attorney’s economic interest in the transaction is not the same as a seller’s, the four elements of strict liability are not satisfied.  Accordingly, the court rejected the application of strict liability to the attorney and found that the attorney could not be held liable for misrepresentation.  The court also concluded that the attorney could not be held liable under negligence principles and reversed the trial court’s summary judgment in favor of the attorney.  

**References**  
1. Document: 1895466  
   Type: Court Judgment  
   Pages: 27‑28  
2. Document: 1895466  
   Type: Court Judgment  
   Pages: 28‑29  
3. Document: 1895466  
   Type: Court Judgment  
   Pages: 10‑12",YES,NO
What was the procedural issue in Illinois Graphics Co. v. Nickum regarding the complaint?,"The procedural issue was whether the plaintiffs' petition, filed under section 19(g) of the Workers' Compensation Act to reduce an award to judgment, stated a valid cause of action. The trial court dismissed the complaint with prejudice, and the appellate court affirmed, holding that section 19(g) did not provide a remedy to recover voluntary payments made to an employee who was later found not entitled to benefits. References: Document: 2224522 Pages: 4","The court’s procedural question was whether the pleading filed by State Farm was a proper petition under Illinois Workers’ Compensation Act § 19(g) and, more broadly, whether that pleading sufficiently alleged a cause of action.  The complaint was filed as a petition to reduce an award, but the court treated it as a complaint and considered whether it met the pleading‑sufficiency requirements.  The motion to dismiss was therefore based on the complaint’s alleged inadequacy to state a claim.  

References  
1. Document: 2224522  
   Type: Court Judgment  
   Pages: 1‑5  
2. Document: 2224522  
   Type: Court Judgment  
   Pages: 25‑26",YES,NO
What is the purpose of section 19(g) of the Illinois Workers' Compensation Act?,The purpose of section 19(g) is to permit a party to reduce an award or decision of the Industrial Commission to a judgment in the circuit court. This allows for a speedy and enforceable judgment for compensation owed under the Act. The court noted that section 19(g) applies to an 'award' or 'decision' that orders the payment of compensation. References: Document: 2224522 Pages: 9,"Section 19(g) of the Illinois Workers’ Compensation Act authorizes a party to seek a judgment from the Workers’ Compensation Commission’s award or decision.  The provision is intended to give a “speedy remedy” for the payment of compensation benefits, allowing either the employee or the employer to enforce the Commission’s determination and obtain prompt payment.  

References  
1. Document: 2224522  
   Type: Court Judgment  
   Pages: 10‑11  
2. Document: 2224522  
   Type: Court Judgment  
   Pages: 12‑13  
3. Document: 2224522  
   Type: Court Judgment  
   Pages: 13‑14",NO,YES
Why did the court in Illinois Graphics Co. v. Nickum find that the Commission's decision was not an 'award' for purposes of section 19(g)?,"The court found that the Commission's decision, which affirmed the arbitrator's denial of Nickum's claim for compensation, did not constitute an award. The Commission's order, which allowed the employer to take credit for amounts paid 'on account of said accidental injury,' was not a determination that Nickum was liable for repayment, but rather a credit that would apply only if a compensation award had been made. The decision did not order the payment of compensation, and thus was not the type of 'award' or 'decision' that can be reduced to judgment under section 19(g). References: Document: 2224522 Pages: 10",The language model returned an empty response.,NO,NO
What is the rule regarding dismissing a complaint with prejudice when the plaintiff does not request leave to amend?,"The appellate court noted that a complaint should not be dismissed with prejudice unless it is clear that no set of facts could be proven that would entitle the plaintiff to relief. However, when a plaintiff does not request leave to amend the complaint, the court is not obligated to grant such leave sua sponte. The court found that the plaintiffs failed to request leave to amend and had not raised the issue on appeal, so the dismissal with prejudice was proper. References: Document: 2224522 Pages: 8","A complaint may be dismissed with prejudice only when the plaintiff has **not** requested leave to amend.  
If the plaintiff seeks leave to amend, the court must grant that opportunity before dismissing the complaint with prejudice.  

**References**  
1. Document: 2224522  
   Type: Court Judgment  
   Pages: 8‑9  
2. Document: 2224522  
   Type: Court Judgment  
   Pages: 20‑21",YES,NO
What is the primary purpose and scope of the Estate Tax Regulations found in Part 20 of the Code of Federal Regulations?,"The Estate Tax Regulations in Part 20 pertain to the Federal estate tax imposed by chapter 11 of the Internal Revenue Code on the transfer of estates of decedents dying after August 16, 1954, and certain related administrative provisions. They are applicable to the estates of decedents dying after that date and supersede the previous regulations (Regulations 105). References: Document: CFR-2025-title26-vol16-part20 Pages: 4 (§ 20.0-1)","The Estate Tax Regulations in Part 20 of the Code of Federal Regulations are intended to provide the detailed rules that implement the Federal estate tax.  They cover the tax imposed by chapter 11 of subtitle B of the Internal Revenue Code on the transfer of the entire taxable estate of a decedent who dies after August 16, 1954, and they also set forth related administrative provisions found in subtitle F of the Code.  The regulations apply to the estates of decedents who are citizens or residents of the United States (and, where applicable, to certain decedents dying after specified later dates) and supersede the earlier 1939 regulations.  The part is organized into subchapters that address the taxation of estates of citizens or residents (subchapter A), miscellaneous substantive provisions (subchapter C), and procedure and administration matters (subchapter B and the related subtitle F provisions).  

**References**  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 4-5",YES,YES
"How is a ""resident"" decedent defined for the purpose of the estate tax regulations?","A ""resident"" decedent is defined as a person who, at the time of his death, had his domicile in the United States. A person acquires a domicile in a place by living there, for even a brief period, with no definite present intention of later removing therefrom. References: Document: CFR-2025-title26-vol16-part20 Pages: 4-5 (§ 20.0-1)","A “resident” decedent is a decedent who, at the time of his death, had his domicile in the United States.  The regulations define domicile as being established by living in a place, even for a brief period, with no definite present intention of later removing therefrom; residence without the requisite intention to remain indefinitely does not constitute domicile, nor does an intention to change domicile unless accompanied by actual removal.  The term “United States” in the regulations includes only the 50 States and the District of Columbia, and, for purposes of domicile, also includes the Territories of Alaska and Hawaii prior to their admission as states.  

References  
1. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 4-5",YES,YES
"According to § 20.0-2, what is the nature of the Federal estate tax and how is it determined for a citizen or resident?","The Federal estate tax is described as a tax imposed upon the transfer of the entire taxable estate, and not upon any particular legacy, devise, or distributive share. The method involves four steps: 1) ascertaining the value of the gross estate; 2) determining the taxable estate; 3) computing the gross estate tax; and 4) subtracting authorized credits to arrive at the net estate tax payable. References: Document: CFR-2025-title26-vol16-part20 Pages: 5-6 (§ 20.0-2)","The Federal estate tax is a tax imposed on the transfer of the entire taxable estate of a decedent, not on any particular legacy, devise, or distributive share. Escheat of a decedent’s property to a state for lack of heirs is treated as a transfer and is included in the decedent’s gross estate.

For a decedent who was a citizen or resident of the United States, the tax is determined by the following steps (subparagraphs (2)–(5) of § 20.0‑2):

1. **Gross estate** – Ascertain the total value of the decedent’s gross estate. The gross estate includes the value of all property to the extent of the decedent’s interest at death, and may also include property in which the decedent had no interest at death. The gross estate may differ from the decedent’s probate estate. Examples of property that may be included are:  
   * property transferred during the decedent’s lifetime without adequate consideration;  
   * property held jointly with others;  
   * property over which the decedent had a general power of appointment;  
   * proceeds of certain life‑insurance policies;  
   * annuities;  
   * dower or curtesy interests of a surviving spouse or a statutory estate in lieu thereof.  

2. **Taxable estate** – Subtract from the gross estate the authorized exemption and any allowable deductions (expenses, indebtedness, taxes, losses, etc.) to arrive at the decedent’s taxable estate.

3. **Tax application** – The Federal estate tax is then imposed on the transfer of that taxable estate.

These steps provide the method for determining the Federal estate tax for a citizen or resident decedent.  

References  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 4‑5, 5‑6",YES,NO
"What is the general rule regarding the valuation of adjusted taxable gifts made after August 5, 1997, as defined in § 20.2001-1(b)?","For adjusted taxable gifts made after August 5, 1997, the amount of the taxable gift is the amount as finally determined for gift tax purposes. If the time has expired for assessing a gift tax (under section 6501), the amount may not be thereafter adjusted. This applies to all issues including valuation and legal issues. References: Document: CFR-2025-title26-vol16-part20 Pages: 6-7 (§ 20.2001-1)","The general rule is that, for gifts made after August 5, 1997, if the period within which a gift tax may be assessed under chapter 12 of the Internal Revenue Code (or the corresponding provisions of prior laws) has expired under section 6501, the amount of the taxable gift is the amount finally determined for gift‑tax purposes under chapter 12. Once that final amount is established, it may not be adjusted thereafter, and this prohibition applies to all adjustments, including those involving valuation issues.  

References  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 6‑7",YES,YES
Who is personally liable for the payment of the Federal estate tax under § 20.2002-1?,"The Federal estate tax is payable by the executor or administrator of the decedent's estate. This duty applies to the entire tax, regardless of the fact that the gross estate consists in part of property which does not come into the possession of the executor. If there is no executor, any person in possession of the decedent's property is required to pay the tax to the extent of the value of the property in his possession. References: Document: CFR-2025-title26-vol16-part20 Pages: 8 (§ 20.2002-1)","The Federal estate tax under § 20.2002‑1 is payable by the executor or administrator of the decedent’s estate.  If no executor or administrator is appointed, any person who is in actual or constructive possession of any property of the decedent must pay the entire tax to the extent of the value of the property in his possession.  The executor or such other person becomes personally liable for the tax to the extent of any payments made or distributions made before the estate tax is satisfied.  

References  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 7‑8",YES,YES
What is the purpose of the unified credit against the estate tax under § 20.2010-1?,"The unified credit, under section 2010(a), allows the estate of every decedent a credit against the estate tax imposed by section 2001. The allowable credit is the applicable credit amount, which equals the amount of tentative tax that would be determined if the amount on which such tentative tax is to be computed were equal to the applicable exclusion amount. References: Document: CFR-2025-title26-vol16-part20 Pages: 9 (§ 20.2010-1)","The unified credit against estate tax is intended to give the estate of a decedent a credit equal to the unified credit amount that would have applied if the donor had died at the end of the calendar year, reduced by any credit already taken against gift tax in earlier years.  This credit prevents double taxation of assets transferred during the donor’s lifetime and at death.  

**References**  
1. Document: CFR‑2025‑title26‑vol16‑part25  
   Type: Tax Document  
   Pages: 18‑19  
2. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 8, 19",NO,NO
"Under the portability provisions, what is the requirement for an executor to allow a surviving spouse to take into account a decedent's DSUE amount as per § 20.2010-2?","The executor of the decedent's estate must elect portability on a timely filed Form 706. The estate will be considered to be required to file a return, and the due date is nine months after the decedent's date of death or the last day of an extension period. References: Document: CFR-2025-title26-vol16-part20 Pages: 12 (§ 20.2010-2)","The executor must file a complete and properly prepared estate‑tax return that includes a computation of the decedent’s DSUE amount.  The timely filing of that return satisfies the requirement for portability, provided the executor has not elected out of portability under § 20.2010‑2(a)(3)(i).  

References  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 14‑15",NO,NO
What is the general rule for determining the DSUE amount of a decedent with a surviving spouse as stated in § 20.2010-2(c)?,The DSUE amount is the lesser of: (i) the basic exclusion amount in effect in the year of the decedent's death; or (ii) the excess of the decedent's applicable exclusion amount over the sum of the amount of the taxable estate and the amount of the adjusted taxable gifts of the decedent. References: Document: CFR-2025-title26-vol16-part20 Pages: 15 (§ 20.2010-2),"A portability election made by the decedent’s executor generally applies as of the date of the decedent’s death.  Consequently, the decedent’s DSUE amount is included in the surviving spouse’s applicable exclusion amount under § 2010(c)(2) and may be used to offset transfers made by the surviving spouse after the decedent’s death, subject to the limitations set forth in paragraph (a) of § 20.2010‑2(c).  The DSUE amount will not be included if the executor later supersedes the election by filing a subsequent estate return, if the DSUE amount is subsequently reduced by a valuation adjustment or correction of an error, or if the surviving spouse cannot substantiate the amount claimed on the spouse’s return.  

References  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 17‑18",NO,NO
"According to § 20.2010-3, a surviving spouse's estate is limited to the DSUE amount of which decedent?",The DSUE amount of a decedent is included only if such decedent is the last deceased spouse of the surviving spouse on the date of the surviving spouse's death and the executor of the decedent's estate elected portability. The identity of the last deceased spouse is unchanged by a subsequent marriage or divorce. References: Document: CFR-2025-title26-vol16-part20 Pages: 16-17 (§ 20.2010-3),"The surviving spouse’s estate is limited to the DSUE amount of the **last deceased spouse**.  

References  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 16‑17",YES,YES
How is the credit for State death taxes limited under § 20.2011-1 if a deduction is allowed under section 2053(d) for those taxes?,"The credit cannot exceed the least of: (a) the amount of State death taxes paid other than those deducted; (b) the maximum credit allowable under section 2011(b); or (c) an amount determined by a ratio comparing the non-deducted State death taxes to the total State death taxes, applied to the credit that would have been allowable without the deduction under section 2053(d). References: Document: CFR-2025-title26-vol16-part20 Pages: 21-22 (§ 20.2011-2)","The credit for State death taxes is limited to the **least of** the following three amounts when a deduction is allowed under § 2053(d):

1. **(a)** The amount of State death taxes actually paid **other than** those for which the § 2053(d) deduction is allowed.  
2. **(b)** The amount specified in § 2011(b) as the maximum credit allowable with respect to the decedent’s taxable estate.  
3. **(c)** An amount **A** that bears the same ratio to **B** (the maximum credit that would be allowed under § 2011(b) if the § 2053(d) deduction were not permitted) as **C** (the amount of State death taxes paid other than those for which the deduction is allowed) bears to **D** (the total amount of State death taxes paid).  

The credit cannot exceed the smallest of these three amounts.  In addition, § 20.2011‑2 imposes further limitations on the credit when a § 2053(d) deduction is allowed for State death taxes paid with respect to a charitable gift.  

**References**  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 21-21  
2. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 19-19   (for reference to § 20.2011‑2)",YES,YES
"Under § 20.2012-1, what is the ""first limitation"" on the credit for gift tax?","The ""first limitation"" is the amount of the gift tax paid on the gift. If more than one gift was made in a calendar quarter/year, the credit for a specific gift is limited to an amount that is proportionate to the total gift tax paid for that period, based on the ratio of the ""amount of the gift"" to the total taxable gifts plus the specific exemption allowed. References: Document: CFR-2025-title26-vol16-part20 Pages: 22-23 (§ 20.2012-1)","The “first limitation” is the amount of gift tax paid on the gift.  
In § 20.2012‑1(c) it is defined as: “The amount of the gift tax paid on the gift is the ‘first limitation’.”  
When more than one gift is included in the decedent’s gross estate, the first limitation for each gift is calculated by proportionally allocating the total gift tax paid to that gift, using the ratio of the gift’s taxable amount to the total taxable gifts for the period.  

References  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 22-23",YES,YES
"What is the ""second limitation"" on the credit for tax on prior transfers under § 20.2013-3?","The ""second limitation"" is the amount of the Federal estate tax attributable to the transferred property in the present decedent's estate. It is the difference between the net estate tax payable with and without the value of the property transferred (after an adjustment for charitable deductions). References: Document: CFR-2025-title26-vol16-part20 Pages: 26 (§ 20.2013-3)","The “second limitation” is the amount of Federal estate tax attributable to the transferred property in the present decedent’s estate.  It is calculated as the difference between  

1. the net estate tax payable on the present decedent’s estate (determined without regard to any credit for tax on prior transfers or any foreign death‑tax credit), and  

2. the net estate tax that would be payable if the value of the transferred property were subtracted from the present decedent’s gross estate, with only the adjustment for a charitable deduction (if allowable) made as specified in paragraph (b) of § 20.2013–3.  

Thus, the credit for tax on prior transfers is limited to this difference, which represents the estate tax attributable to the transferred property.

References  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 25‑26",YES,YES
"How is the ""value of the property transferred"" determined for the credit for tax on prior transfers under § 20.2013-4?","The value is the value at which the property was included in the transferor's gross estate for Federal estate tax purposes, reduced by: (1) Federal and other death taxes payable out of the property; (2) any marital deduction allowed to the transferor's estate; (3) administration expenses; and (4) any encumbrance or obligation imposed by the transferor and incurred by the decedent with respect to the property. References: Document: CFR-2025-title26-vol16-part20 Pages: 26-27 (§ 20.2013-4)","The “value of the property transferred” is the amount at which the property was originally included in the transferor’s gross estate for federal estate‑tax purposes, adjusted for any taxes that were paid out of the property or by the decedent in connection with the property.  

- **Base value** – The inclusion value in the transferor’s gross estate (as determined under §§ 2031, 2032, 2103, 2107 and their regulations).  
- **Reduction** – Subtract the amount of any Federal estate tax and any other estate, inheritance, legacy, or succession taxes that were payable out of the property transferred to the decedent or that were payable by the decedent in connection with the property. If all death taxes were paid from other property, no reduction is made.  
- **Limited interests** – If the decedent received a life estate, remainder, or other limited interest that was included in the transferor’s gross estate, the value of that interest is determined as of the transferor’s date of death using recognized valuation principles (see §§ 20.2031–7, 20.2031–7A, 20.7520–1 through 20.7520–4).  

**Illustration**  
- *Example 1*: Property included in the transferor’s gross estate at $100,000. The value transferred to the decedent is $100,000 (no taxes paid out of the property).  
- *Example 2*: Property included at $100,000, with a life estate valued at $44,688 and a remainder at $55,312. The value transferred to the decedent for the life estate is $44,688; for the remainder, $55,312.

These rules apply when computing the credit for tax on prior transfers under § 20.2013‑4.  

References  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 26‑27",YES,YES
